Lesson,Elements of Science and Engineering Practice(s),Rationale
1,"Ask questions that arise from careful observation of phenomena, models, or unexpected results, to clarify and/or seek additional information.",Students’ questions for the Driving Question Board (DQB) emerge from their observations of the temperature changes in the regular/fancy cups and their experiences with related phenomena or other objects that keep things cold and hot. Students’ questions are developed to seek clarity in their systems models to explain what is happening when the cups and related objects are more or less successful at maintaining a substance’s temperature.
1,"Ask questions that can be investigated within the scope of the classroom, outdoor environment, and museums and other public facilities with available resources and, when appropriate, frame a hypothesis based on observations and scientific principles.","When students generate a list of questions for the DQB, they are encouraged to generate investigable questions that they can pursue in the classroom given available resources. These questions will form the background of the investigations conducted over the course of the unit."
1,Develop and/or use a model to predict and/or describe phenomena.,Students develop initial systems models to describe how the fancy cup maintains a drink’s temperature better than the regular cup.
1,Develop a model to describe unobservable mechanisms.,"Students are encouraged to include in their model unobservable mechanisms, like heat, cold, gases, and so forth, that could be entering or leaving their cup systems."
2,"Plan an investigation individually and collaboratively, and in the design: identify independent and dependent variables and controls, what tools are needed to do the gathering, how measurements will be recorded, and how many data are needed to support a claim.","In groups, students plan an investigation into how changing 1 cup feature affects a drink’s temperature over time, and they explore the importance of keeping all other variables constant (e.g., initial water temperature, amount of water and ice, methods for reading and recording temperature, and timed measurement intervals). As part of their plan, students describe their experimental setup, materials required, and data collection methodology."
2,"Collect data about the performance of a proposed object, tool, process or system under a range of conditions","Students collect data to analyze the performance of a series of cups under a range of conditions (e.g., lid or no lid, single or double walls, and cup material)."
2,"Use graphical displays (e.g., maps, charts, graphs, and/or tables) of large data sets to identify temporal and spatial relationships.","Using a class data table, students analyze the data to identify patterns in the effect of various cup features on temperature change over time (i.e., temporal patterns in the data)."
2,Analyze and interpret data to provide evidence for phenomena.,"Using class data, students identify patterns indicating that some cup features seem to work better at keeping a drink cold."
2,"Consider limitations of data analysis (e.g., 
measurement error), and/or seek to improve precision and accuracy of data with better 
technological tools and methods (e.g., multiple trials).","Through data analysis, students identify outliers and data that seem counterintuitive. They suggest ways to modify data collection methods in subsequent investigations to improve the precision and accuracy of data."
2,Analyze and interpret data to determine similarities and differences in findings.,"Using class data, students highlight similarities and differences to identify patterns indicating which cup features seem most essential for keeping a drink cold."
,,
,,
Lesson,Elements of Science and Engineering Practice(s),Rationale
3,Develop and/or use a model to predict and/or describe phenomena.,Students develop a model to explain how cup features not only slow the warming up of a cold liquid inside the cup but can also work to slow the cooling down of a hot liquid inside the cup.
3,Develop a model to describe unobservable mechanisms.,"Students use their model to identify the non-visible components, relationships, and processes that lead to temperature changes in a liquid and how cup features can slow this process."
3,"Plan an investigation individually and collaboratively, and in the design: identify independent and dependent variables and controls, what tools are needed to do the gathering, how measurements will be recorded, and how many data are needed to support a claim.","Students work in teams focused on how to test the lid’s role in maintaining the temperature of the liquid inside the cup. Students identify one independent variable to change, identify controlled variables, and determine how they will measure the outcomes. Students do not use independent, dependent, or controlled variables in their language yet, but will be primed for learning those new words in the subsequent lesson."
4,Develop and/or use a model to predict and/or describe phenomena.,"Students develop and use a model to predict whether, and explain why, the hot liquid in the cup with a lid or without a lid will drop in temperature more in their first investigation. They also develop and use a particulate model of matter to show that more matter is leaving the system with no lid than the system with a lid."
4,Develop a model to describe unobservable mechanisms.,Students develop and use a model to describe unobservable mechanisms (evaporation and escape of gases through gaps between the lid and the cup) that could account for matter entering or leaving their cup systems.
4,Evaluate the accuracy of various methods for collecting data.,"Students plan and design their first investigation collaboratively, identifying independent, dependent, and control variables, what tools are needed for data gathering, and how measurements will be recorded."
4,"Collect data about the performance of a proposed object, tool, process or system under a range of conditions","Students take measurements to produce 
data (temperature changes and mass changes) to serve as the basis for evidence to answer scientific questions (“How does a lid affect what happens to the liquid in the cup?”) in their two investigations."
4,Analyze and interpret data to provide evidence for phenomena.,Students analyze and interpret data to provide evidence for phenomena when they make claims about the effect of a lid versus no lid on temperature changes and mass changes in each investigation.
4,"Apply concepts of statistics and probability (including mean, median, mode, and variability) to analyze and characterize data, using digital tools when feasible.",Students apply concepts of statistics and probability when they calculate the mean to analyze and characterize the average temperature change and mass change for different portions of their pooled class data.
4,"Consider limitations of data analysis (e.g., 
measurement error), and/or seek to improve precision and accuracy of data with better 
technological tools and methods (e.g., multiple trials).","Students consider limitations of data analysis when the teacher explains the accuracy of the digital scale (+/- 0.1 g) and how averaging multiple 
measurements from many trials can help 
counterbalance this source of error."
,,
,,
Lesson,Elements of Science and Engineering Practice(s),Rationale
4,Analyze and interpret data to determine similarities and differences in findings.,Students analyze and interpret data to determine similarities and differences in findings when they compare temperature and mass changes in their investigations and look for patterns across the pooled class data sets.
5,Analyze and interpret data to provide evidence for phenomena.,"Students collect and interpret mass measurements and observational data in the classroom, compare these to related personal experiences, and then use this evidence to explain that condensation occurs when moisture in the air collects on a cool surface."
5,"Construct, use, and/or present an oral and written argument supported by empirical evidence and scientific reasoning to support or refute an 
explanation or a model for a phenomenon or a solution to a problem.","Students develop an argument, using evidence from the investigation and personal experiences of condensation, to argue that water forming on the outside of the cup comes from the air as opposed to coming from inside the cup."
6,Develop or modify a model—based on evidence—to match what happens if a variable or component of a system is changed.,"Students develop and modify a model—based on evidence--to match what happens if a variable or component of a system is changed. They do this when they account for the results from an open system (a cup with no lid) and a less-open system (a cup with a lid) when they work with marble manipulatives on day 1, diagrammatic models at the end of day 1, and Questions 3 and 4 on the assessment on day 2."
6,"Develop and/or revise a model to show the relationships among variables, including those that are not observable but predict observable 
phenomena.","Students develop and revise a model to show the relationships among variables, including those that are not observable (particle flow out of the system 
versus no particle flow out of the system) but that predict observable phenomena to explain the effect of a lid versus no lid on mass loss (or no mass loss) from the system. They do this when they work with marble manipulatives on day 1, diagrammatic models at the end of day 1, and Questions 3 and 4 on the assessment on day 2."
6,Develop and/or use a model to predict and/or describe phenomena.,"Students develop and use a model to predict and describe phenomena to answer Questions A through E on [material: TH.L6.HO2] and Questions 3 and 4 on the 
assessment."
6,Develop a model to describe unobservable mechanisms.,Students develop a model to describe unobservable mechanisms when they model evaporation and matter loss from a cup system through gaps between the lid and the cup wall to explain why a lidded cup could still lose mass when they complete the questions for B through E and the zoom-in models for E on [material: TH.L6.HO2].
6,"Plan an investigation individually and collaboratively, and in the design: identify independent and dependent variables and controls, what tools are needed to do the gathering, how measurements will be recorded, and how many data are needed to support a claim.","Students plan an investigation individually and collaboratively, and in the design they identify: the independent, dependent, and control variables, what tools are needed to gather the data, how 
measurements will be recorded, and how much data are needed to support a claim when they answer Question 2 on [material: TH.L6.SA] on day 2."
,,
,,
Lesson,Elements of Science and Engineering Practice(s),Rationale
7,"Develop and/or revise a model to show the relationships among variables, including those that are not observable but predict observable 
phenomena.","Since students have figured out that matter does not enter or leave the closed cup system, they 
determine other possible causes for a temperature change in a liquid in the system. Students develop a model that predicts the interactions between energy and the components of the closed cup system to explain what could cause the liquid’s temperature change."
8,Develop or modify a model—based on evidence—to match what happens if a variable or component of a system is changed.,Students modify a model from Lesson 7—based on evidence from the light experiment in this lesson--to account for what happens to the temperature of water inside a cup if there is no light shining on the cup (a variable or component of a system is changed).
8,"Develop and/or revise a model to show the relationships among variables, including those that are not observable but predict observable 
phenomena.","Students apply their model from the unit on light and matte to explain how relationships between observed amounts of reflected, transmitted, and 
absorbed light lead to temperature changes inside cups with various surfaces."
9,"Plan an investigation individually and collaboratively, and in the design: identify independent and dependent variables and controls, what tools are needed to do the gathering, how measurements will be recorded, and how many data are needed to support a claim.","Students work as a class (or in small groups) to add to and review an investigation plan to test 
temperature changes using a cup system inserted into a water bath system. Students will write a testable question, discuss the independent, dependent, and control variables, and decide how to collect temperature data to get accurate results."
10,Develop a model to describe unobservable mechanisms.,"Students have multiple opportunities to develop a model to explain how matter is made of particles, how the particles move in relation to one another, and how the movement of particles relates to the temperature of the matter."
10,"Develop and/or use a model to generate data to test ideas about phenomena in natural or designed systems, including those representing inputs and outputs, and those at unobservable scales.","During the Food Coloring Lab, students apply their observations of hot and cold water to develop a model that predicts particle behavior in room temperature water."
11,"Apply scientific ideas, principles, and/or evidence to construct, revise and/or use an explanation for real world phenomena, examples, or events.",Students apply scientific ideas about how particles in hot liquids move faster and have more kinetic energy than particles in cold liquids to construct an explanation about their observations of food coloring moving more in hot water than in cold water. They extend these ideas to gases as well.
12,Collect data to produce data to serve as the basis for evidence to answer scientific questions or test design solutions under a range of conditions.,"Because it is not possible to directly observe matter at the particle level, students use an online interactive simulation to observe the motion of the particles in a gas as well as the interactions 
(collisions) between the particles which result in transfers of kinetic energy between the particles. Students use the simulation to generate and collect data to figure out the relationship between the kinetic energy of the particles in a gas, the 
temperature of the gas, and its total kinetic energy."
,,
,,
Lesson,Elements of Science and Engineering Practice(s),Rationale
